epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,239.948,2.21607,1.19533,1.56077,0.745,0.71313,0.73163,0.30282,2.00803,1.1609,1.64612,0.0007427,0.0007427,0.0007427
129,241.664,2.17675,1.23757,1.56814,0.76231,0.71325,0.74124,0.29661,2.01751,1.16088,1.65259,0.0007328,0.0007328,0.0007328
130,243.456,2.20994,1.28738,1.67716,0.74761,0.69619,0.73371,0.29381,2.0317,1.14978,1.65539,0.0007229,0.0007229,0.0007229
131,245.164,2.15734,1.24384,1.61415,0.73242,0.69882,0.73336,0.29969,2.0234,1.14982,1.63955,0.000713,0.000713,0.000713
132,247.007,2.20686,1.30623,1.70157,0.73457,0.7021,0.736,0.30286,2.02463,1.15573,1.63078,0.0007031,0.0007031,0.0007031
133,249.018,2.09831,1.18459,1.53412,0.70349,0.69751,0.70923,0.28977,2.01976,1.1901,1.62476,0.0006932,0.0006932,0.0006932
134,250.769,2.24607,1.50901,1.54481,0.72361,0.69402,0.70052,0.28155,2.02232,1.20431,1.62828,0.0006833,0.0006833,0.0006833
135,252.563,2.17448,1.19755,1.57197,0.74124,0.70111,0.70749,0.28292,2.0241,1.2109,1.63251,0.0006734,0.0006734,0.0006734
136,254.264,2.12419,1.22617,1.61572,0.74673,0.72178,0.73348,0.2922,2.02046,1.18325,1.63694,0.0006635,0.0006635,0.0006635
137,256.075,2.19947,1.19929,1.61275,0.74642,0.71391,0.72918,0.29474,2.02657,1.18294,1.64466,0.0006536,0.0006536,0.0006536
138,257.94,2.15295,1.25637,1.62846,0.7181,0.7087,0.70266,0.28437,2.03519,1.19509,1.65297,0.0006437,0.0006437,0.0006437
139,259.835,2.24896,1.2145,1.59625,0.68593,0.68241,0.66781,0.26805,2.06975,1.19445,1.67404,0.0006338,0.0006338,0.0006338
